epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5814.46,1.07923,0.62325,1.11091,0.87407,0.79079,0.88136,0.59695,1.08531,0.57113,1.11114,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5992.49,1.07166,0.6179,1.10727,0.87251,0.7912,0.88101,0.59743,1.0838,0.56885,1.11123,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6170.63,1.06826,0.61339,1.10442,0.87201,0.79409,0.88177,0.59849,1.08222,0.568,1.10927,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6348.88,1.06383,0.61144,1.09986,0.87358,0.79368,0.88317,0.60043,1.07855,0.56594,1.10687,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6527.14,1.05798,0.605,1.09795,0.87472,0.79391,0.88291,0.59987,1.07847,0.5637,1.10632,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,6705.22,1.05094,0.5998,1.0949,0.87348,0.79479,0.88321,0.60033,1.07803,0.56329,1.10786,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,6883.33,1.05163,0.59788,1.09305,0.87523,0.79524,0.88425,0.60167,1.07697,0.55999,1.10611,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,7061.26,1.046,0.59411,1.08954,0.87435,0.79571,0.88388,0.60181,1.07624,0.55835,1.10455,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,7239.33,1.03728,0.58758,1.08731,0.87404,0.79668,0.88414,0.60307,1.07533,0.55533,1.1056,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,7415.89,1.02076,0.55328,1.07295,0.87431,0.79579,0.88395,0.60146,1.07867,0.55735,1.1076,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,7591.49,1.01341,0.54702,1.06937,0.87631,0.79369,0.88367,0.60132,1.08017,0.55784,1.10865,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,7767.05,1.00541,0.54135,1.06483,0.87482,0.79434,0.88305,0.60052,1.08054,0.55686,1.10922,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,7942.77,0.99935,0.5351,1.06252,0.87432,0.79545,0.88348,0.60102,1.08043,0.55543,1.10994,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,8118.4,0.99162,0.52944,1.05805,0.87439,0.79479,0.88318,0.6007,1.08115,0.55436,1.11022,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,8293.99,0.98647,0.52555,1.05339,0.87521,0.79487,0.88348,0.601,1.08159,0.55302,1.10998,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,8469.71,0.98075,0.52156,1.04975,0.87438,0.79533,0.88318,0.60068,1.0827,0.55335,1.11032,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,8645.31,0.97447,0.51776,1.0471,0.87393,0.7976,0.88356,0.60087,1.08325,0.55296,1.11118,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,8820.66,0.96656,0.51249,1.04423,0.87452,0.79675,0.88386,0.60083,1.08366,0.55293,1.11184,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,8996.32,0.96275,0.5093,1.0409,0.87368,0.79652,0.88357,0.6008,1.08425,0.55305,1.11275,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
