epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7045.97,1.07716,0.51364,0.95635,0.84637,0.7188,0.80799,0.50798,1.09281,0.49202,0.97221,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,7262.4,1.07014,0.50932,0.95187,0.84746,0.71918,0.80879,0.50853,1.09292,0.49118,0.97111,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,7479.35,1.0669,0.50756,0.95522,0.85059,0.71879,0.80945,0.50918,1.09309,0.49041,0.97332,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,7695.97,1.06265,0.50281,0.95297,0.85086,0.71894,0.81011,0.50978,1.09212,0.48939,0.97306,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,7912.89,1.05914,0.49868,0.95277,0.85321,0.71785,0.81021,0.51009,1.09294,0.48918,0.97497,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,8129.72,1.05125,0.49466,0.94742,0.85201,0.71896,0.8104,0.51027,1.09296,0.48789,0.97414,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,8346.59,1.04928,0.49274,0.94677,0.84956,0.7202,0.81093,0.51072,1.09315,0.48765,0.97382,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,8563.17,1.05114,0.49163,0.94668,0.84888,0.72183,0.81182,0.51102,1.09306,0.48727,0.97398,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,8780.22,1.04418,0.48616,0.94366,0.84979,0.72095,0.8113,0.51122,1.09323,0.48678,0.97424,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,8996.75,1.08162,0.49014,0.95426,0.85131,0.72036,0.81123,0.51108,1.0937,0.48669,0.97393,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,9212.24,1.0729,0.48369,0.95129,0.85107,0.72043,0.81124,0.51093,1.09437,0.4871,0.9743,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,9427.76,1.06679,0.48102,0.94859,0.85016,0.7207,0.81092,0.51086,1.09501,0.48728,0.97469,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,9643.42,1.06105,0.47712,0.9467,0.84962,0.72149,0.8108,0.51076,1.09611,0.48751,0.97519,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,9858.93,1.05672,0.47375,0.94643,0.85083,0.72064,0.81085,0.5108,1.09646,0.48769,0.97575,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,10074.5,1.05188,0.46869,0.94155,0.85121,0.72058,0.8108,0.5107,1.09748,0.48767,0.97628,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,10290,1.04869,0.46491,0.94148,0.85022,0.72055,0.81077,0.51066,1.09809,0.48765,0.97659,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,10505.6,1.04362,0.46147,0.93954,0.85115,0.71968,0.81047,0.51035,1.09861,0.4879,0.97697,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,10721.1,1.03728,0.45703,0.93783,0.85206,0.71946,0.81071,0.51054,1.09923,0.48807,0.97742,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,10936.7,1.03424,0.45435,0.9367,0.852,0.71934,0.81043,0.51043,1.09995,0.4883,0.97795,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
