epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6353.84,1.20318,0.67643,0.93157,0.70929,0.70821,0.73494,0.46698,1.20661,0.68606,0.968,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6548.93,1.19863,0.67377,0.93018,0.70471,0.70386,0.74077,0.47235,1.20721,0.68286,0.96856,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6744.01,1.19,0.66555,0.92873,0.70007,0.71051,0.74032,0.47274,1.20718,0.6833,0.96887,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6938.95,1.1875,0.6566,0.9278,0.78283,0.68588,0.73959,0.47304,1.20836,0.6809,0.96922,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,7133.88,1.18175,0.64794,0.92495,0.76495,0.68202,0.73596,0.47065,1.21072,0.68052,0.96994,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,7328.65,1.17789,0.64204,0.92665,0.77033,0.67247,0.73096,0.46725,1.21019,0.68265,0.96963,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,7523.72,1.17142,0.63583,0.92409,0.73302,0.68151,0.73172,0.46652,1.21005,0.68262,0.96998,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,7718.83,1.16378,0.62879,0.92165,0.65843,0.73932,0.73164,0.46735,1.21089,0.68224,0.97014,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,7914.09,1.1577,0.62036,0.92062,0.68531,0.72401,0.73368,0.46775,1.21133,0.68189,0.97021,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,8108.46,1.13656,0.5881,0.94445,0.69837,0.71324,0.73297,0.46729,1.21249,0.68244,0.97079,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,8302.1,1.12508,0.57546,0.93717,0.68871,0.71953,0.73104,0.4678,1.21438,0.68426,0.97157,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,8495.94,1.11499,0.56628,0.93771,0.69756,0.71349,0.72774,0.46532,1.21608,0.68608,0.97263,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,8689.84,1.10379,0.55555,0.93343,0.70672,0.70159,0.72698,0.4645,1.21854,0.6885,0.97364,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,8883.48,1.09747,0.54778,0.93261,0.70547,0.70375,0.72682,0.46405,1.2204,0.69033,0.9745,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,9077.26,1.08858,0.54188,0.92607,0.71946,0.69506,0.72724,0.46418,1.22204,0.69241,0.97519,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,9270.89,1.08018,0.52992,0.92778,0.71552,0.69446,0.72595,0.46419,1.22368,0.69516,0.97583,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,9464.91,1.07193,0.52001,0.92517,0.70063,0.71262,0.7247,0.46284,1.22513,0.69657,0.9766,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,9658.64,1.06239,0.51226,0.92392,0.70637,0.70397,0.72325,0.46199,1.22654,0.69795,0.97733,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,9852.47,1.05579,0.50563,0.91939,0.70312,0.70574,0.72226,0.46093,1.22807,0.69998,0.97793,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
