epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5242.9,1.07249,0.61153,1.11323,0.87226,0.78635,0.87571,0.59107,1.09237,0.56765,1.1221,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5403.72,1.06319,0.60546,1.10959,0.87321,0.78571,0.87651,0.59214,1.09027,0.56503,1.12253,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,5564.56,1.05991,0.60074,1.10758,0.8732,0.78761,0.87671,0.59218,1.091,0.56419,1.12331,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,5725.48,1.05637,0.59859,1.10172,0.8724,0.7881,0.87758,0.59362,1.08837,0.56151,1.12006,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,5886.38,1.05025,0.5928,1.09994,0.87446,0.78778,0.87722,0.59263,1.08975,0.56092,1.12217,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,6047.22,1.04317,0.58737,1.09768,0.87712,0.78706,0.87805,0.594,1.08873,0.5575,1.12237,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,6208.14,1.04327,0.5861,1.09568,0.87653,0.78829,0.87846,0.59528,1.08718,0.55604,1.12189,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,6368.89,1.03786,0.58171,1.09273,0.87556,0.789,0.87859,0.59517,1.08733,0.55502,1.12187,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,6529.52,1.02957,0.57632,1.09133,0.87359,0.79061,0.87879,0.59566,1.08634,0.55417,1.12322,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,6688.82,1.00987,0.5376,1.07366,0.87261,0.7897,0.87742,0.59378,1.08928,0.5557,1.12464,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,6847,1.00027,0.53098,1.06772,0.87236,0.78993,0.87751,0.59424,1.09065,0.55472,1.12336,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,7005.23,0.992,0.52517,1.06447,0.87338,0.78938,0.87724,0.59407,1.09026,0.55408,1.12518,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,7163.33,0.98664,0.52112,1.06158,0.87346,0.78864,0.87741,0.59381,1.09095,0.55334,1.12528,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,7321.33,0.97849,0.51489,1.05705,0.87321,0.78893,0.87756,0.59414,1.0922,0.55255,1.12596,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,7479.49,0.9732,0.5119,1.0542,0.87289,0.78988,0.87731,0.59421,1.09192,0.5527,1.12745,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,7637.55,0.96724,0.507,1.04969,0.87222,0.78984,0.87705,0.5938,1.09289,0.55244,1.12848,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,7795.8,0.96233,0.50384,1.04786,0.87385,0.78942,0.87725,0.59392,1.09367,0.55223,1.1299,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,7953.75,0.95425,0.49911,1.04561,0.87327,0.78963,0.87725,0.59363,1.09458,0.55225,1.13101,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,8111.76,0.94992,0.495,1.0414,0.87282,0.79007,0.8774,0.59369,1.09539,0.55198,1.13154,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
