               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.033272,            0.039661,                   0,             0.84906,             0.69565,             0.78928,             0.49223,            0.034694,            0.043006,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.03314,            0.039486,                   0,             0.84645,             0.69804,              0.7898,              0.4925,            0.034695,             0.04305,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.032997,            0.039265,                   0,             0.84632,             0.69804,              0.7898,             0.49282,            0.034696,            0.043098,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.032874,            0.039119,                   0,             0.84866,             0.69689,             0.78991,             0.49315,            0.034699,            0.043159,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.032721,            0.038679,                   0,             0.84695,             0.69785,             0.79015,             0.49311,            0.034704,            0.043206,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.032665,            0.038777,                   0,             0.84719,             0.69708,             0.78993,              0.4932,            0.034709,            0.043261,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.032482,             0.03839,                   0,             0.84682,             0.69725,             0.78974,             0.49309,            0.034723,            0.043313,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.032309,            0.038284,                   0,             0.84661,             0.69774,             0.78984,             0.49303,            0.034737,            0.043371,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.032278,            0.038264,                   0,             0.84597,             0.69866,             0.78976,             0.49298,            0.034751,             0.04342,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.032144,            0.038136,                   0,             0.84523,             0.69883,             0.78967,             0.49305,            0.034763,             0.04347,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.032018,            0.037876,                   0,             0.84428,             0.69912,             0.78942,             0.49295,            0.034777,            0.043523,                   0,            0.000496,            0.000496,            0.000496
