epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7841.05,1.08562,0.52898,0.95088,0.85415,0.71874,0.81163,0.51171,1.08796,0.49812,0.95822,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8081.37,1.0786,0.52439,0.94815,0.85452,0.71955,0.81251,0.51203,1.08657,0.49725,0.95826,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,8321.73,1.07405,0.52197,0.94755,0.85552,0.72047,0.81327,0.51278,1.08631,0.49557,0.95722,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,8561.87,1.07021,0.51736,0.94605,0.85467,0.72116,0.81332,0.51364,1.08616,0.49506,0.95747,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,8802.23,1.06746,0.51431,0.94514,0.85556,0.72143,0.81352,0.51388,1.08635,0.49544,0.95798,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,9042.14,1.06033,0.50907,0.94358,0.85607,0.72201,0.81477,0.51441,1.08676,0.4935,0.95819,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,9282.66,1.05759,0.50662,0.94334,0.85503,0.72352,0.81497,0.51481,1.08704,0.49251,0.95914,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,9522.79,1.06033,0.50572,0.94168,0.85671,0.72329,0.81524,0.5151,1.08689,0.49184,0.95904,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,9763.07,1.05327,0.50015,0.93869,0.85483,0.72515,0.81589,0.5156,1.08651,0.49089,0.9589,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,10002.6,1.09134,0.50461,0.94957,0.85446,0.72445,0.81568,0.51533,1.08696,0.49068,0.95885,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,10241.1,1.08299,0.50048,0.94687,0.85539,0.7234,0.81572,0.51533,1.08713,0.49106,0.95901,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,10479.2,1.07887,0.4974,0.94405,0.85531,0.72422,0.8157,0.51549,1.08768,0.4914,0.95892,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,10717.6,1.07214,0.49287,0.94161,0.85406,0.72526,0.81604,0.51557,1.08781,0.49158,0.95887,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,10956.1,1.0693,0.48971,0.94137,0.85436,0.72538,0.8161,0.5157,1.08799,0.49138,0.95915,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,11194.8,1.06418,0.4854,0.93549,0.85386,0.72537,0.81603,0.51572,1.08828,0.49147,0.9588,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,11433.1,1.06056,0.48164,0.93737,0.85551,0.72381,0.81596,0.51575,1.08864,0.49127,0.95912,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,11671.9,1.05612,0.47679,0.9344,0.85547,0.72423,0.81618,0.51582,1.08901,0.49123,0.95929,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,11910.7,1.05027,0.47212,0.93226,0.8547,0.72426,0.81575,0.51578,1.08924,0.49115,0.95938,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,12149,1.04674,0.46899,0.93004,0.85571,0.72407,0.8158,0.5158,1.08972,0.49128,0.95941,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
