               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.033565,            0.036689,           0.0071033,             0.75242,             0.69284,             0.72329,             0.45633,            0.029689,            0.033071,           0.0077584,            0.002872,            0.002872,            0.002872
                  38,            0.033506,            0.036563,           0.0069862,              0.7554,             0.69098,             0.72486,             0.45822,            0.029704,            0.033065,           0.0077777,            0.002674,            0.002674,            0.002674
                  39,            0.033541,            0.036299,            0.006745,             0.75778,              0.6812,             0.72441,             0.45772,            0.029714,             0.03306,           0.0078449,            0.002476,            0.002476,            0.002476
                  40,            0.033097,            0.036025,           0.0066493,             0.76024,             0.67855,             0.72342,             0.45795,            0.029685,            0.033054,            0.007864,            0.002278,            0.002278,            0.002278
                  41,            0.033244,            0.036239,            0.006418,             0.70863,             0.69352,              0.7246,             0.45855,            0.029662,            0.033062,           0.0078728,             0.00208,             0.00208,             0.00208
                  42,            0.032993,            0.035438,           0.0062521,             0.72928,             0.67355,              0.7238,             0.45719,            0.029676,            0.033096,           0.0078877,            0.001882,            0.001882,            0.001882
                  43,            0.032833,            0.035975,            0.006175,              0.7227,             0.68312,              0.7234,             0.45715,            0.029684,            0.033128,           0.0079061,            0.001684,            0.001684,            0.001684
                  44,            0.032562,            0.035496,           0.0059232,             0.72583,             0.69214,             0.72402,             0.45761,            0.029676,            0.033149,           0.0079212,            0.001486,            0.001486,            0.001486
                  45,             0.03243,            0.035181,           0.0058457,             0.73683,             0.68829,             0.72383,              0.4586,            0.029666,            0.033178,           0.0079499,            0.001288,            0.001288,            0.001288
                  46,            0.032362,            0.035421,           0.0057016,             0.73996,             0.68443,              0.7227,             0.45913,            0.029662,            0.033219,           0.0079677,             0.00109,             0.00109,             0.00109
                  47,            0.032154,            0.034388,           0.0054617,             0.74532,             0.68267,             0.72281,             0.45849,            0.029666,             0.03325,           0.0079842,            0.000892,            0.000892,            0.000892
                  48,            0.032221,            0.034823,           0.0054064,             0.74769,             0.67974,             0.72214,             0.45824,            0.029672,            0.033296,           0.0080284,            0.000694,            0.000694,            0.000694
                  49,            0.031776,            0.034297,           0.0052896,             0.74519,             0.67876,              0.7213,             0.45754,            0.029679,            0.033341,           0.0080684,            0.000496,            0.000496,            0.000496
